Font: Source Han Sans K  Pt. Size: 30
Characters packed: 3625/4005

Missing Characters
----------------------------------------
ID: 36228	Hex: 8D84	Char [趄]
ID: 21638	Hex: 5486	Char [咆]
ID: 40669	Hex: 9EDD	Char [黝]
ID: 29536	Hex: 7360	Char [獠]
ID: 21995	Hex: 55EB	Char [嗫]
ID: 22149	Hex: 5685	Char [嚅]
ID: 8730	Hex: 221A	Char [√]
ID: 8735	Hex: 221F	Char [∟]
ID: 20556	Hex: 504C	Char [偌]
ID: 33210	Hex: 81BA	Char [膺]
ID: 164	Hex: A4	Char [¤]
ID: 26551	Hex: 67B7	Char [枷]
ID: 39641	Hex: 9AD9	Char [髙]
ID: 38159	Hex: 950F	Char [锏]
ID: 30315	Hex: 766B	Char [癫]
ID: 20547	Hex: 5043	Char [偃]
ID: 27067	Hex: 69BB	Char [榻]
ID: 27595	Hex: 6BCB	Char [毋]
ID: 29030	Hex: 7166	Char [煦]
ID: 35039	Hex: 88DF	Char [裟]
ID: 38601	Hex: 96C9	Char [雉]
ID: 27887	Hex: 6CEF	Char [泯]
ID: 23536	Hex: 5BF0	Char [寰]
ID: 23092	Hex: 5A34	Char [娴]
ID: 25225	Hex: 6289	Char [抉]
ID: 21422	Hex: 53AE	Char [厮]
ID: 40667	Hex: 9EDB	Char [黛]
ID: 28908	Hex: 70EC	Char [烬]
ID: 21006	Hex: 520E	Char [刎]
ID: 26974	Hex: 695E	Char [楞]
ID: 21617	Hex: 5471	Char [呱]
ID: 21899	Hex: 558B	Char [喋]
ID: 26003	Hex: 6593	Char [斓]
ID: 29934	Hex: 74EE	Char [瓮]
ID: 24132	Hex: 5E44	Char [幄]
ID: 9794	Hex: 2642	Char [♂]
ID: 247	Hex: F7	Char [÷]
ID: 12305	Hex: 3011	Char [】]
ID: 24407	Hex: 5F57	Char [彗]
ID: 20149	Hex: 4EB5	Char [亵]
ID: 28174	Hex: 6E0E	Char [渎]
ID: 23267	Hex: 5AE3	Char [嫣]
ID: 26544	Hex: 67B0	Char [枰]
ID: 65312	Hex: FF20	Char [＠]
ID: 28641	Hex: 6FE1	Char [濡]
ID: 30778	Hex: 783A	Char [砺]
ID: 916	Hex: 394	Char [Δ]
ID: 36381	Hex: 8E1D	Char [踝]
ID: 30414	Hex: 76CE	Char [盎]
ID: 32641	Hex: 7F81	Char [羁]
ID: 22092	Hex: 564C	Char [噌]
ID: 22007	Hex: 55F7	Char [嗷]
ID: 40607	Hex: 9E9F	Char [麟]
ID: 32516	Hex: 7F04	Char [缄]
ID: 31809	Hex: 7C41	Char [籁]
ID: 20608	Hex: 5080	Char [傀]
ID: 20769	Hex: 5121	Char [儡]
ID: 25912	Hex: 6538	Char [攸]
ID: 39563	Hex: 9A8B	Char [骋]
ID: 38588	Hex: 96BC	Char [隼]
ID: 35857	Hex: 8C11	Char [谑]
ID: 29279	Hex: 725F	Char [牟]
ID: 23534	Hex: 5BEE	Char [寮]
ID: 27586	Hex: 6BC2	Char [毂]
ID: 28905	Hex: 70E9	Char [烩]
ID: 28944	Hex: 7110	Char [焐]
ID: 25822	Hex: 64DE	Char [擞]
ID: 21682	Hex: 54B2	Char [咲]
ID: 65505	Hex: FFE1	Char [￡]
ID: 8733	Hex: 221D	Char [∝]
ID: 23011	Hex: 59E3	Char [姣]
ID: 35781	Hex: 8BC5	Char [诅]
ID: 20163	Hex: 4EC3	Char [仃]
ID: 26180	Hex: 6644	Char [晄]
ID: 33148	Hex: 817C	Char [腼]
ID: 33094	Hex: 8146	Char [腆]
ID: 38121	Hex: 94E9	Char [铩]
ID: 27628	Hex: 6BEC	Char [毬]
ID: 31941	Hex: 7CC5	Char [糅]
ID: 32543	Hex: 7F1F	Char [缟]
ID: 28140	Hex: 6DEC	Char [淬]
ID: 30522	Hex: 773A	Char [眺]
ID: 29020	Hex: 715C	Char [煜]
ID: 20898	Hex: 51A2	Char [冢]
ID: 38662	Hex: 9706	Char [霆]
ID: 22163	Hex: 5693	Char [嚓]
ID: 28063	Hex: 6D9F	Char [涟]
ID: 28458	Hex: 6F2A	Char [漪]
ID: 38178	Hex: 9522	Char [锢]
ID: 21712	Hex: 54D0	Char [哐]
ID: 30505	Hex: 7729	Char [眩]
ID: 30491	Hex: 771B	Char [眛]
ID: 34506	Hex: 86CA	Char [蛊]
ID: 27607	Hex: 6BD7	Char [毗]
ID: 25457	Hex: 6371	Char [捱]
ID: 28874	Hex: 70CA	Char [烊]
ID: 38124	Hex: 94EC	Char [铬]
ID: 37108	Hex: 90F4	Char [郴]
ID: 31485	Hex: 7AFD	Char [竽]
ID: 65339	Hex: FF3B	Char [［]
ID: 28100	Hex: 6DC4	Char [淄]
ID: 38808	Hex: 9798	Char [鞘]
ID: 31933	Hex: 7CBD	Char [粽]
ID: 28088	Hex: 6DB8	Char [涸]
ID: 36364	Hex: 8E0C	Char [踌]
ID: 24439	Hex: 5F77	Char [彷]
ID: 24488	Hex: 5FA8	Char [徨]
ID: 36470	Hex: 8E76	Char [蹶]
ID: 31629	Hex: 7B8D	Char [箍]
ID: 38425	Hex: 9619	Char [阙]
ID: 39533	Hex: 9A6D	Char [驭]
ID: 32432	Hex: 7EB0	Char [纰]
ID: 23409	Hex: 5B71	Char [孱]
